# Expected-reading corpus — the faithfulness gate (README §7c). TAB-separated:
#   sentence <TAB> skeleton (sense-erased) <TAB> note
# The gate asserts each unit still CONTAINS its skeleton among its readings — robust to
# added ambiguity, unlike encoded-count. A MISS = a fundamentally-correct reading was lost.
#
# UPDATE 2026-07-29: the rate is 60 OF 62 under the tracked replay
# (`ranks/2026-07-29-demonstratives.json` on `wordnet-umls-aligned-2026-07-29-demonstratives`),
# and BOTH misses are understood. Do not "fix" either by repinning.
#
#   «Synthetic lethality is an interaction between two genetic events.»  DRAW VARIANCE, not a defect.
#     Measured over THREE live draws on this lexicon: missed in draws 1 and 3, HIT in draw 2. This is
#     the same unit ranks/README.md already names as the previous recording's variance miss. The
#     adopted reference is draw 1, so it carries the miss; adopting draw 2 to make the gate green
#     would be exactly the resampling that file forbids.
#
#   «Depletion of WRN induced double-stranded DNA breaks.»  SENSE-ELIMINATION, structure intact.
#     Missed in all 3 draws, so it is systematic — but it is NOT a lost reading, and the deduction is
#     tight: the sentence contains no demonstrative, so 166b234 changed nothing in its lexicon, and
#     950f1e9 was already in place when this same pin scored 62/62. That leaves f832837, which filters
#     only the RANKER's candidate list and cannot remove a category the seed filter kept. So the
#     transitive reading `induce(breaks, depletion-of-WRN)` is still seedable; the cap stops choosing
#     it. Cap-only never realised this pin either (before OR after), so cap-only absence is no
#     evidence here.
#
# THREE-DRAW VARIANCE BAND on this lexicon (why one draw is not a measurement):
#   draw          encoded  grammar-gap  total-readings  total-skeletons  expected-hits
#   1 (adopted)   12       0            905             171              59  (60 after the re-pin)
#   2             12       0            903             171              60
#   3             12       0            893             171              59
# Structure is near-deterministic — total-skeletons IDENTICAL at 171 across all three, readings within
# 1.3% — and ALL the variance is in sense selection. So a structural A/B may be compared across draws;
# a pin count may NOT.
#
# UPDATE 2026-07-28: under the tracked REPLAY the rate is now 48/48. The single deterministic miss was a STALE PIN
# ('Synthetic lethality is an interaction ...'), found by the adjudication ledger's stale-row report and re-pinned;
# the band below was measured on LIVE reranker draws and is NOT retested here.
# EXPECTED HIT RATE IS 44-45 OF 45, NOT 45/45 (measured 2026-07-26; accepted for now, REVISIT once
# the remaining pins are determined and more invalid skeletons are gone). With a LIVE reranker, ~1
# pin fails per draw and WHICH ONE VARIES. FOUR live draws on the same lexicon scored 44, 44, 43, 44
# — 45/45 did not come up once, and one draw lost TWO pins. The misses were «These classifications
# were highly concordant…» (draws 1 and 4), «Synthetic lethality is an interaction…» (draw 2), and two
# at once (draw 3). The 45/45 recorded earlier on the OLD lexicon was itself a single sample and
# should not be read as a stable property. Every failing pin's structure stayed REACHABLE: the
# concordant one is present in
# cap-only on both lexicons (12 skeletons), the synthetic-lethality one in the OTHER live draw — so
# these are sense-ELIMINATION misses, not lost readings. Do NOT repin (that would bake in the wrong
# analysis: the synthetic-lethality miss differs from its pin only by `§(G#2)` vs `gt(§(G#2), §)`,
# i.e. `genetic` read as GRADABLE instead of intersective) and do NOT resample to green (cherry-
# picking). Cause is `SENSE_CAP=2` truncating by emission order over a wide sense space — see the
# long note in `kernel/src/dcg/parse/seed.rs`, which records two fixes already measured and rejected.
#
# METHOD NOTE from the same measurement: across the four draws SKELETONS are stable (307/315/310/309,
# range 2.6%) but READINGS are not (1149-1435, 25%). Compare readings only within one fixed `--replay`
# recording; across recordings, compare skeletons.
#
# SELECTING a draw that scores 45/45 was considered and is NOT available (none of four did). Note for
# whoever tries it: picking a recording BY its pin score biases the artifact toward passing, so that
# recording can no longer detect sense-RANKING regressions — acceptable only if the A/B in question is
# structural (skeletons), and worth saying out loud in whatever adopts it.
# VERIFIED 2026-07-22: each entry's reading was checked via English gloss or manual
# λ-term dissection. Two originally-seeded units were ENCODED on a WRONG reading and
# REMOVED: "MSI is associated with…" ('associated with' reified as UMLS C0332281 into a
# noun compound, not the verb) and "These data sets are project Achilles and project DRIVE"
# ('and' reified as UMLS C1515981 into a compound pile, not a coordination). Both are the
# function-word/qualifier reification defect; re-add once it is fixed and the correct reading pins.
# REMOVED 2026-07-25: "Project Achilles and project DRIVE identified WRN as the top preferential
# dependency in MSI cell lines compared to MSS cell lines." — pinned on a WRONG ATTACHMENT. The pin
# carried prep_in/prep_to predicated of the PROJECTS ("Project Achilles, in MSI cell lines, identified
# …"), but the study's own chain encodes the claim as onco:TopDifferentialDependency(gene, context)
# with context = "Achilles_MSI"/"DRIVE_MSI" (chain/05-phase1-discovery.esl) — the MSI context and the
# MSS contrast belong to the DEPENDENCY, not to the identifying event. Same arbiter method as D62 §4a.
# The pin's own note had already conceded the object realisation was "incidental to that verification
# and never adjudicated"; it is now positively wrong, and a wrong pin is worse than none — it would
# VETO the correct reading once that becomes derivable.
# The correct reading is NOT currently in the parse space: of the unit's 204 skeletons, 44 get the
# essive right (the(Σ dependency. top ∧ preferential ∧ prep_in ∧ prep_to).1) with both projects as
# named individuals, but ALL of them read "compared" as the NOUN comparison (wn:compare.n.04746842)
# absorbed into the in-PP object, because `compared` has no (S[pss]\NP)/cat_pp_arg(prep_to) entry —
# WordNet records no oblique frame for `compare`, and the verb analogue of adjective-frames.tsv does
# not exist. RE-ADD once `compare` can govern `to` AND a post-nominal reduced-participial attachment
# is confirmed, with the PPs nested in the dependency NP.
# baseline replay. "encoded" is NOT proof of "correct" (cf. the 2026-07-20 gloss bug), so
The co-occurrence of these two events leads to cell death.	§(kind_of(§), the(ΣG#0:§. prep_of(G#0, the(ΣG#1:§. compound_kind(G#1, §)).1)).1)	verified 2026-07-22 (gloss)
Each event alone does not lead to cell death.	ΠG#0:ΣG#0:§. sole(G#0). §(kind_of(§), G#0.1) → False	verified 2026-07-22 (gloss)
DNA repair processes are attractive synthetic-lethal targets.	subclass_of(ΣG#0:§. compound_kind(G#0, §), ΣG#0:§. And(gt(§(G#0), §), gt(§(G#0), §)))	verified 2026-07-22 (gloss)
This success highlights the potential of this approach.	§(the(ΣG#0:§. prep_of(G#0, the(§))).1, the(§))	verified 2026-07-22 (gloss)
MSI cancer models required the helicase activity of WRN.	§(the(ΣG#0:§. prep_of(G#0, kind_of(§))).1, kind_of(ΣG#0:§. compound_kind(G#0, §)))	verified 2026-07-22 (gloss)
MSI cancer models did not require the exonuclease activity of WRN.	§(the(ΣG#0:§. prep_of(G#0, kind_of(§))).1, kind_of(ΣG#0:§. compound_kind(G#0, §))) → False	verified 2026-07-22 (gloss)
Nucleotide repeat regions are microsatellites.	subclass_of(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, §)), §)	verified 2026-07-22 (gloss)
MSI contributes to several cancers.	ΠG#0:Prop. ΠG#1:§. §(G#1, kind_of(§)) → G#0 → G#0	verified 2026-07-22 (dissection); structure correct, GQ cardinality 'several' not encoded in this reading
MSI occurs in colon, gastric, endometrial and ovarian cancers.	And(And(And(§(kind_of(§), kind_of(§)), §(kind_of(§), kind_of(§))), §(kind_of(§), kind_of(§))), §(kind_of(§), kind_of(§)))	verified 2026-07-22 (gloss)
MSI can arise from Lynch syndrome.	Possible(And(§(kind_of(§)), prep_from(kind_of(§), kind_of(§))))	verified 2026-07-22 (gloss)
More commonly, MSI cancers arise from somatic MMR inactivation.	And(§(kind_of(ΣG#0:§. compound_kind(G#0, §))), prep_from(kind_of(ΣG#0:§. compound_kind(G#0, §)), kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §)))))	verified 2026-07-22 (gloss)
The use of immune checkpoint blockade can be limited by toxicity.	Possible(§(the(ΣG#0:§. compound_kind(G#0, §)).1, kind_of(§)))	verified 2026-07-23 (passive-agent: toxicity limit the use of ICB)
Thus, MSI tumours need novel therapies.	§(kind_of(ΣG#0:§. gt(§(G#0), §)), kind_of(ΣG#0:§. compound_kind(G#0, §)))	verified 2026-07-22 (gloss)
We hypothesized that MSI and MMR deficiency may create vulnerabilities.	§(And(Possible(§(kind_of(§), kind_of(§))), Possible(§(kind_of(§), kind_of(§)))), speaker)	verified 2026-07-23 (distributed coordination: MSI/MMR-deficiency each may create vulnerabilities)
We analysed two independent cancer dependency data sets.	ΠG#0:Prop. ΠG#1:ΣG#1:§. And(compound_kind(G#1, ΣG#2:§. compound_kind(G#2, §)), gt(§(G#1), §)). §(G#1.1, speaker) → G#0 → G#0	verified 2026-07-22 (dissection); structure correct, GQ cardinality 'two' not encoded in this reading
We identified three groups of cell lines.	ΠG#0:Prop. ΠG#1:ΣG#1:§. prep_of(G#1, kind_of(§)). §(G#1.1, speaker) → G#0 → G#0	verified 2026-07-23 (cardinal GQ: identify(we, three groups of cell lines); cardinality 'three' not encoded, same caveat as the two-data-sets sibling)
Project Achilles screened cell lines with a CRISPR library.	§(kind_of(ΣG#0:§. ΠG#1:Prop. ΠG#2:ΣG#2:§. compound_kind(G#2, §). prep_with(G#0, G#2.1) → G#1 → G#1), ni_project_achilles)	verified 2026-07-23 (named individual: Project Achilles screened cell-lines-with-a-CRISPR-library)
Project DRIVE analysed cell lines with an RNA interference library.	§(kind_of(ΣG#0:§. ΠG#1:Prop. ΠG#2:ΣG#2:§. compound_kind(G#2, §). prep_with(G#0, G#2.1) → G#1 → G#1), ni_project_drive)	verified 2026-07-23 (named individual: Project DRIVE analysed cell-lines-with-an-RNAi-library)
These MSI cell lines were distinct.	gt(§(the(ΣG#0:§. compound_kind(G#0, §)).1), §)	verified 2026-07-22 (gloss)
The lines from rare lineages were less dependent on WRN.	λ$anaphor$0. gt(§(kind_of(§), $anaphor$0), §(kind_of(§), the(ΣG#0:§. prep_from(G#0, kind_of(ΣG#1:§. gt(§(G#1), §)))).1))	verified 2026-07-23 (Fix A a+b': relational comparative — deg_dependent_rel(WRN, .) with WRN the relatum; open, standard = the typical lineages [discourse]); re-pinned 2026-07-24 with α-normalised hole binder ($anaphor$0) after the elided_than shift moved the freshening site
These groups are MSI lines, microsatellite-stable lines and indeterminate lines.	And(And(is_a(the(§), ΣG#0:§. compound_kind(G#0, §)), is_a(the(§), ΣG#0:§. gt(§(G#0), §))), is_a(the(§), ΣG#0:§. gt(§(G#0), §)))	verified 2026-07-30 (audit): RE-PINNED — the third pin found to encode a defect, after the `Theses` one and «These data sets…». The OLD pin was `And(And(λG#0. the(§, kind_of(…), G#0), λ…), λ…)`: `logic:And` applied to TYPE-RAISED QUANTIFIERS, which is ill-typed because `logic:And (P : Prop, Q : Prop)` takes propositions, not functions. It survived only because the kernel admitted an applied inductive type without checking its parameter arguments (fixed in e95026c), so this unit's every reading was ill-typed and it had NO well-typed parse at all — the `grammar-gap 1` that fix exposed. The cause was `kind_raised_nps` dispatching on the determiner body's HEAD CONSTRUCTOR: `a` supplies three raised categories and two are `bwd`-headed, so the PREDICATIVE `bwd(cat_s(dcl,adj), cat_np)` (⟦·⟧ arity 1) was given the OBJECT-GQ sem `λTV. λsubj. …` (arity 2), one λ too deep. With a predicative branch added, this unit has exactly ONE skeleton and it is correct: `And` over `is_a(…)` propositions, glossing as `the group is a Microsatellite Instability line and … and the group is an indeterminate line`.
Some MSI lines and some MSS lines were represented by these screening data sets.	And(ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). §(G#1.1, the(ΣG#2:§. compound_kind(G#2, §)).1) → G#0 → G#0, ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). §(G#1.1, the(ΣG#2:§. compound_kind(G#2, §)).1) → G#0 → G#0)	verified 2026-07-24 (Defect 2a: distributed existential passive — ∃ MSI-line represented by the data-sets AND ∃ MSS-line represented by them; 'some' is the existential GQ, not the C0205392 reification. Two conjuncts erase identically (MSI/MSS line → compound_kind(line,§)). Cardinality opaque, same caveat as the two-data-sets / three-groups GQ siblings)
WRN was dispensable in models of microsatellite-stable cancers.	And(gt(§(kind_of(§)), §), prep_in(kind_of(§), kind_of(ΣG#0:§. prep_of(G#0, kind_of(ΣG#1:§. gt(§(G#1), §))))))	verified 2026-07-25 (gloss): gt(dispensable(WRN), std) with 'in models of MSS cancers' a CIRCUMSTANTIAL VP-adjunct — 'dispensable' does not subcategorize 'in', so the adjunct reading is the faithful one (unlike dependent-on / essential-for / concordant-with, which do govern their preposition). 'of microsatellite-stable cancers' correctly NESTS into the models NP (prep_of inside the Σ), and 'stable' takes a02290998 (resistant to change), the domain-right sense
We hypothesized that other DNA repair defects would give rise to synthetic-lethal relationships.	§(Would(§(kind_of(ΣG#0:§. gt(§(G#0), §)), kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §))))), speaker)	RE-PINNED 2026-08-02 (frame 22/23 swap): the previous pin was the SAME adjunct analysis as this unit's `invalid` row and differed from it only in where the adjunct landed — `And(give_rise_i(defects), prep_to(defects, relationships))` inside the clause vs `prep_to(speaker, relationships)` escaping onto the matrix subject. Both are gone: `classify` had WordNet frames 22 and 23 SWAPPED (`wninput.5` line 212 — 22 is `Somebody ----s PP`, 23 is `Somebody's (body part) ----s`), so `give rise` (synset 01752884, frames 11 + 22) got no oblique-PP slot and its `to`-PP could only attach as a free adjunct, which is what let it escape a finite `that`-clause. With the frames read correctly the unit has ONE skeleton: `hypothesize(Would(give_rise_p(relationships, defects)), speaker)` — a saturated 2-place predication with `to` absorbed as the governed marker (complement first, subject second, the category's own denotation order). No top-level `And`, no `prep_to` conjunct, no scope island. verified 2026-07-25 (gloss): 'to synthetic-lethal relationships' stays INSIDE the that-clause, attached to the embedded subject (the defects) — the same VP-adjunct shape as the pinned 'MSI can arise from Lynch syndrome'. The rejected skeleton attaches prep_to to `speaker`, escaping the complement clause entirely
MSI results from deficient DNA mismatch repair.	And(§(kind_of(§)), prep_from(kind_of(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §)))))	verified 2026-07-25 (gloss): 'deficient' is a gradable adjective OVER the compound 'DNA mismatch repair' — And(compound_kind, gt), the same shape as the pinned 'somatic MMR inactivation'. The rejected skeleton keeps only the adjective and loses the DNA compound
We analysed data from large-scale silencing screens.	§(kind_of(ΣG#0:§. prep_from(G#0, kind_of(ΣG#1:§. And(compound_kind(G#1, §), gt(§(G#1), §))))), speaker)	verified 2026-07-25 (gloss): 'from …' attaches to the head noun `data` and its object is the compound 'silencing screens' modified by 'large-scale' — the same prep_from-on-head shape as the pinned 'the lines from rare lineages'. The rejected skeleton folds the PP into a compound modifier
