# Skeleton adjudication ledger — the VALIDITY gate. TAB-separated, 4 fields:
#   sentence <TAB> skeleton (sense-erased) <TAB> verdict <TAB> evidence
#
# Run `scripts/audit-skeletons.sh` to check coverage; it FAILS while anything is unadjudicated and
# writes a worksheet of the missing rows with `--worksheet`.
#
# WHY THIS EXISTS, SEPARATELY FROM expected-readings.tsv. That file gates FAITHFULNESS — the correct
# reading is still present — and says nothing about the other readings, so a unit can pass it while
# carrying invalid ones. Nothing checked those. An informal review of them on 2026-07-28 produced
# impressions rather than findings: it SAMPLED (`sort -u | head -6`) instead of enumerating, drifted
# between the two questions, and had no stated admissibility criterion, so "looks wrong" stood in for
# three different verdicts. One claim from that pass was wrong on inspection (the PARP-1 unit was
# called all-flat; 8 of its 10 readings are nested). This ledger is the correction: one row per
# skeleton, a verdict, and the evidence.
#
# VERDICTS — exactly one of:
#   correct    the intended reading. At most one per unit; it is also the pin.
#   available  structurally available and NOT the grammar's to refuse — semantically false, or true
#              but dispreferred. A PP that may attach high or low yields one `correct` and one
#              `available`. Ranking's problem.
#   invalid    the grammar should not produce it. Evidence MUST establish inadmissibility under EVERY
#              sense assignment, and name the rule that should block it. This is the defect backlog.
#
# The `available`/`invalid` line decides rule-change vs ranking-change, so argue over it. A merely
# false reading is `available`. The germline family qualified as `invalid` because "MSH6 causes Lynch
# syndrome" is false whether MSH6 denotes the gene or the protein — no sense assignment rescues it.
#

# Seeded 2026-07-28 with ONLY the verdicts established by evidence at the time; the remainder is
# deliberately left unadjudicated rather than bulk-filled, so the gate reports the real state.
# Skeleton strings are copied VERBATIM from the worksheet - a first attempt typed them by hand and all
# rows registered as stale, which is what the (unit, skeleton) key is for.
Defects in DNA mismatch repair promote a hypermutable state.	ΠG#0:Prop. ΠG#1:ΣG#1:§. gt(§(G#1), §). §(G#1.1, kind_of(ΣG#2:§. prep_in(G#2, kind_of(§)))) → G#0 → G#0	available	Differs from the pin only in whether `DNA` joins the compound: 'a defect in a DNA Mismatch Repair' vs 'a defect in Mismatch Repair'. Both are lexically real (UMLS carries Mismatch Repair C1155661 and the DNA-qualified concept), the predication is identical, and no rule distinguishes an MWE from its compositional compound. Lexical bracketing, ranking's job.
MSI results from deficient DNA mismatch repair.	And(§(kind_of(§)), prep_from(kind_of(§), kind_of(ΣG#0:§. gt(§(G#0), §))))	available	Same DNA-compound bracketing axis as 'Defects in DNA mismatch repair …': 'a DNA deficient Mismatch Repair' vs 'a deficient Mismatch Repair'. Identical predication; lexical.
The lines from rare lineages were less dependent on WRN.	λ$anaphor$0. gt(§(kind_of(§), $anaphor$0), §(kind_of(§), the(ΣG#0:§. prep_from(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §)))).1))	available	`rare` realised as a compound modifier (compound_kind) instead of a gradable adjective (gt), plus the bare/kind_of realisation of the subject. Both are lexically available for a surface that WordNet lists as an adjective and UMLS as a qualifier concept; the comparative structure is identical. Lexical, not structural.
The lines from rare lineages were less dependent on WRN.	λ$anaphor$0. gt(§(§, $anaphor$0), §(§, the(ΣG#0:§. prep_from(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §)))).1))	available	`rare` realised as a compound modifier (compound_kind) instead of a gradable adjective (gt), plus the bare/kind_of realisation of the subject. Both are lexically available for a surface that WordNet lists as an adjective and UMLS as a qualifier concept; the comparative structure is identical. Lexical, not structural.
The lines from rare lineages were less dependent on WRN.	λ$anaphor$0. gt(§(§, $anaphor$0), §(§, the(ΣG#0:§. prep_from(G#0, kind_of(ΣG#1:§. gt(§(G#1), §)))).1))	available	`rare` realised as a compound modifier (compound_kind) instead of a gradable adjective (gt), plus the bare/kind_of realisation of the subject. Both are lexically available for a surface that WordNet lists as an adjective and UMLS as a qualifier concept; the comparative structure is identical. Lexical, not structural.
WRN dependency may require specific lineages or a stronger mutation phenotype.	Or(Possible(§(kind_of(ΣG#0:§. gt(§(G#0), §)), kind_of(ΣG#0:§. compound_kind(G#0, §)))), ΠG#0:Prop. ΠG#1:ΣG#1:§. And(compound_kind(G#1, §), gt(§(G#1), §)). Possible(§(G#1.1, kind_of(ΣG#2:§. compound_kind(G#2, §)))) → G#0 → G#0)	available	MODAL SCOPE over the disjunction: pin is Possible(Or(A,B)) — 'possibly (A or B)' — this is Or(Possible(A), Possible(B)), the distributed reading. Both are genuine readings of 'may require X or Y' in English; neither is inadmissible. A scope preference, not a grammar defect.
Somatic MMR inactivation typically arises from hypermethylation of the MLH1 promoter.	And(§(kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §)))), prep_from(kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §))), kind_of(ΣG#0:§. prep_of(G#0, the(ΣG#1:§. compound_kind(G#1, §)).1))))	available	The MLH1 sense axis: C0879389 'MLH1 gene' (an individual, so `compound`) vs C0252642 'MLH1 protein, human' (a class, so `compound_kind`). The protein reading is biologically WRONG — a promoter is a DNA region of a gene, a protein has none — but the relation follows from the concept's declaration and the structure is identical, so this is sense selection. MEASURED that the type level cannot refuse it: UMLS SRSTRE2 licenses BOTH (nucleic-acid<->gene `produces`, nucleic-acid<->protein `interacts_with`), and the SRDEF tree puts nucleic-acid+protein at depth 5 against nucleic-acid+gene at depth 1, so a nearest-ancestor heuristic would prefer the WRONG one. Ranking/glossary, not a rule.
Project Achilles screened cell lines with a CRISPR library.	ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). And(§(kind_of(§), ni_project_achilles), prep_with(ni_project_achilles, G#1.1)) → G#0 → G#0	available	Quantifier scope: the pin keeps 'a CRISPR library' inside the `with` PP; this raises it to take wide scope over the clause ('some CRISPR library, ni screen cell lines and ni with it'). An indefinite taking wide scope is a real reading, not an inadmissible one.
Project DRIVE analysed cell lines with an RNA interference library.	ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). And(§(kind_of(§), ni_project_drive), prep_with(ni_project_drive, G#1.1)) → G#0 → G#0	available	Same wide-scope indefinite as 'Project Achilles screened cell lines with a CRISPR library.' — 'an RNA interference library' raised out of the `with` PP. A scope preference.
Depletion of WRN promoted apoptosis and cell cycle arrest in MSI models.	And(§(kind_of(§), kind_of(ΣG#0:§. prep_of(G#0, kind_of(§)))), §(kind_of(ΣG#0:§. And(compound_kind(G#0, §), prep_in(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §))))), kind_of(ΣG#0:§. prep_of(G#0, kind_of(§)))))	available	`cell cycle arrest` as a compositional compound (compound_kind(cell-cycle, arrest)) rather than the single UMLS concept. Identical predication and identical PP nesting; MWE-vs-compound is lexical.
